Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Apr-22,142.7989,1.3374348,11.48105626,4.6978,1.3566,1.2512,787.98,6.3588,22.055,6.7307,0.904813608,75.8071,3.203,122.2,1210.7,,4.209,44.5131,19.8432,1.444251878,8.743,,3.641,51.906,4.1978,,83.4285,,1.3566,14.6413,9.3927,0.9241,33.382,6.748,,0.760977095,1,41.119
04-Apr-22,142.9144,1.330849082,11.49425287,4.6169,,1.249,783.45,,22.099,6.7592,0.908677874,,3.209,122.43,1216.1,0.30415,4.2185,44.4934,19.7443,1.444460494,8.6769,0.3845,3.627,51.664,4.2073,3.64,83.5932,3.75,1.3572,14.63165,9.3791,,33.494,6.7028,3.6725,0.763562784,1,41.383
05-Apr-22,143.134,1.313197636,11.48105626,4.6394,1.3567,1.2451,779.33,,22.191,6.7807,0.911660133,75.3899,3.205,122.55,1216.7,0.3044,4.2175,44.5719,19.9012,1.439677512,8.6971,0.3845,,51.45,4.2233,3.64,83.352,3.75,1.3567,14.54365,9.3999,0.92595,33.458,6.749,3.6725,0.761672633,1,41.428
06-Apr-22,143.1825,1.320655045,11.56069364,4.6961,1.3606,1.2509,783.28,6.3642,22.375,,0.915499405,75.6016,3.225,124,1212.6,0.3048,4.218,44.612,20.0665,1.44092219,,0.3845,3.71,51.262,4.2606,3.64,,3.75,1.3606,,9.4338,0.93345,,6.7398,3.6725,0.764379897,1,41.74
07-Apr-22,,1.336362421,11.52073733,4.7416,1.3602,1.2584,794.58,6.3626,22.457,6.8137,0.916086479,75.8029,3.228,123.64,1219.1,0.30465,4.2183,44.7039,20.1605,1.448016218,8.7573,0.3845,3.707,51.386,4.2727,3.64,76.2547,3.75,1.3602,,9.4669,0.93325,33.505,6.7564,3.6725,0.76499388,1,42.059
08-Apr-22,143.3145,1.336362421,11.57407407,4.7507,1.3632,,807.88,6.3625,22.546,6.8476,0.920725532,75.7811,3.225,124,1218.5,,4.2205,44.7898,20.12,1.452643812,8.7543,,,51.385,4.2703,,74.8501,,1.3632,14.7284,9.4755,0.93465,33.573,6.7605,,0.766753565,1,41.633
11-Apr-22,143.1145,1.34264232,11.54734411,4.7019,1.3658,1.2621,814.28,6.3702,22.417,6.8234,0.917431193,75.9627,3.211,125,1224,0.30495,4.2268,44.1998,20.0093,1.465416178,8.7594,0.3845,3.709,51.528,4.2586,3.64,79.1596,3.75,1.3658,14.6014,9.446,0.93405,33.64,6.7651,3.6725,0.766518473,1,41.453
12-Apr-22,143.3708,1.345351809,11.52073733,,1.3653,1.2617,818.53,6.3689,22.515,6.8483,0.920725532,76.1127,3.215,125.53,1232,0.30495,4.233,43.7801,19.8407,1.46627566,8.7833,0.3845,3.698,51.914,4.2926,3.64,79.6274,3.75,1.3653,14.5896,9.5203,0.93265,33.68,,3.6725,0.768344218,1,41.304
13-Apr-22,143.3988,1.342101731,11.49425287,4.6805,1.3637,1.2607,806.73,6.3653,22.585,6.8702,0.923702198,76.2248,3.207,125.6,1236.6,0.3051,4.2265,43.5194,19.7967,1.452432825,8.8392,0.3845,3.728,52.175,4.2872,3.64,79.8471,3.75,1.3637,14.4964,9.5335,0.9336,,6.7511,3.6725,0.769023724,1,41.247
14-Apr-22,142.968,1.340842049,11.49425287,4.7152,1.3529,1.2601,804.78,6.369,22.451,,0.919286634,,3.199,125.3,1227.7,0.3048,4.2285,43.2655,,1.466490688,,0.3845,,,4.2581,3.64,81.288,3.75,1.3529,14.6453,9.4429,0.93475,,6.7502,3.6725,0.761556622,1,
15-Apr-22,143.4924,,,,,,,6.3727,,,,,,126.4,1224.2,,4.2345,43.1239,,,,,,,,,80.0437,,,,,,,,,,1,
18-Apr-22,143.6423,,,4.674,1.3594,1.2618,814.73,6.3723,,,,76.3737,,126.64,1230.1,0.30525,4.2483,43.0537,19.9377,,,0.3845,3.73,51.975,,3.64,79.4529,3.75,1.3594,,,,33.663,,3.6725,,1,
19-Apr-22,143.6236,1.356300014,11.58748552,4.6658,,1.2624,817.7,6.3771,22.613,6.8861,0.925668796,76.2797,3.236,127.34,1232.8,0.30555,,43.1316,20.0447,1.485442662,8.815,,3.725,52.231,4.2887,3.64,79.0287,3.75,1.3642,14.85215,9.577,0.94865,33.72,6.7568,3.6725,0.767606985,1,41.128
20-Apr-22,,1.346619984,11.69590643,4.6391,1.3651,1.2502,818.18,6.4163,22.546,6.8703,0.923361034,76.4183,3.235,129.4,1234.9,0.30555,4.266,43.197,20.0383,1.478852411,8.8128,0.3845,3.702,52.381,4.2708,3.64,77.0809,3.75,1.3651,15.044,9.4931,0.94745,33.816,6.7488,3.6725,0.765784738,1,40.796
21-Apr-22,143.127,1.343363783,11.70960187,,1.3658,1.2529,816.29,6.4465,22.394,6.8341,0.918526683,76.2091,3.217,128.28,1237.1,0.30525,4.287,43.2217,20.1802,1.474926254,8.7984,0.3845,3.723,52.453,4.2596,3.64,74.999,3.75,1.3658,15.2331,9.3931,0.94805,33.825,6.7646,3.6725,0.765374459,1,40.126
22-Apr-22,143.702,1.363326517,11.87648456,4.732,1.3642,1.2702,817.85,6.4736,22.485,6.8782,0.924470741,76.3279,,128.61,1236.4,,4.3075,43.1843,20.3183,1.488981537,8.8985,,3.758,52.395,4.2935,,73.505,,1.3642,15.5598,9.5362,0.955,33.919,6.7763,,0.774683348,1,40.049
25-Apr-22,144.1584,,11.9760479,4.8812,1.3741,1.2758,834.45,6.5507,22.725,6.9227,0.93057882,76.7366,3.291,128.78,1241.7,0.30575,4.3475,43.0788,,,9.0283,0.3845,3.807,52.337,4.3188,3.64,73.3611,3.75,1.3741,15.6445,9.6014,0.95865,34.001,6.7629,3.6725,0.786751111,1,40.701
26-Apr-22,144.2084,1.385041551,11.99040767,4.966,1.3716,1.2797,850.85,6.5543,22.884,6.9696,0.936855912,76.5612,3.292,127.6,1247.1,0.30575,4.348,43.0056,20.356,1.510574018,9.1758,0.3845,3.811,52.428,4.3469,3.64,72.7089,3.75,1.3716,15.70085,9.7476,0.95795,34.144,6.781,3.6725,0.78647267,1,40.91
27-Apr-22,,1.392951665,12.06272618,5.0161,1.377,1.2828,847.57,6.5583,23.194,7.0311,0.944911651,76.6414,3.325,127.62,1248.3,0.3061,4.3565,43.0744,20.4707,1.521838381,9.2448,0.3845,3.824,52.255,4.4453,3.64,72.8764,,1.377,,9.8657,0.9644,34.36,6.7653,3.6725,0.794470485,1,41.444
