Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Bolivar Soberano   (VES)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Oct-18,118.1905,,0.376,,62.014575,,4.0267,1.3693,1.2803,660.42,,2972.18,22.201,6.424,0.861623298,278.65,111.02,72.8036,14905,42000,,113.9,364.35,1110.2,0.3031,1.9324,4.1415,34.3,18.6531,115.98,1.510345869,8.1393,0.3845,124.2399,3.306,54.102,3.6867,3.64,65.5745,3.75,1.3693,14.1683,169.2762,8.9106,0.98275,32.253,6.7523,2.80288,3.6725,0.766929979,1,33.212
02-Oct-18,118.5081,1.388888889,0.376,,62.10435,,3.9499,1.3729,1.2817,656.25,,2993.74,22.343,6.4594,0.866325912,281.33,112.66,,14988,42000,3.65,113.94,360.65,1110.9,0.30325,1.9324,4.138,34.3617,18.7503,116.66,1.513088213,8.1775,0.3845,124.2457,3.312,54.095,3.7326,3.64,65.2221,3.75,1.3729,14.36065,169.1966,8.9892,0.98455,32.338,,2.81726,3.6725,0.772379702,1,32.877
03-Oct-18,118.4869,1.392369813,0.376,,62.10435,10.69518717,3.8536,1.3737,1.2832,658.91,,3005.5,22.329,6.4571,0.865950814,278.98,112.87,73.0299,15088,42000,3.64,113.6,364.2,,0.30325,1.9324,4.139,34.3837,18.8014,116.66,1.520912548,8.1783,0.3845,124.2448,3.311,54.251,3.7103,3.64,65.4244,3.75,1.3737,,169.2425,8.9798,0.9872,32.338,6.7529,2.81116,3.6725,0.770356675,1,32.793
04-Oct-18,118.5292,1.411432604,0.376,,62.18415,10.79913607,3.9041,1.381,1.29,659.3,,3012.65,22.415,6.483,0.869414015,282.09,114.05,73.7509,15133,42000,3.64,114.4,367.2,1116.4,0.30365,1.9324,4.147,34.4144,19.1328,117.35,1.538935057,8.2284,0.3845,124.2456,3.332,54.226,3.7512,3.64,66.2115,3.75,1.381,14.7227,169.5961,9.0444,0.99145,32.614,6.7467,2.81079,3.6725,0.770267668,1,33.08
05-Oct-18,118.5187,1.415428167,0.376,,62.18415,10.81081081,3.8693,1.3819,,670.4,,3028.16,22.372,6.4826,0.869111768,282.87,113.65,73.5809,15182,,3.633,114.09,373.71,1128.3,0.30365,1.9324,4.1455,34.4257,18.9444,117.73,1.542971764,8.2681,0.3845,124.2503,,54.345,3.7518,3.64,66.627,3.75,1.3819,14.70675,170.0072,9.0677,0.9938,32.8,6.7495,2.81768,3.6725,0.767018217,1,
09-Oct-18,118.8363,1.410437236,0.376,,62.62305,10.89324619,3.7385,1.3836,1.2965,680.67,6.9239,3031.31,22.564,6.5231,0.874508089,283.46,115.33,74.0989,15233,42000,3.642,113,372.17,,0.30335,1.9324,4.1575,34.4856,19,118.5,1.550628004,8.3004,0.3845,133.5119,3.329,54.232,3.7629,3.64,66.4032,3.75,1.3836,15.0131,170.6859,9.1131,0.9945,32.921,6.7523,2.82733,3.6725,0.76622481,1,32.779
10-Oct-18,118.561,1.404889014,0.376,,62.62305,10.77586207,3.7504,1.3805,1.2992,683.49,6.919,3057.55,22.44,6.487,0.869565217,282.76,116.07,74.1316,15215,42000,3.626,113.04,368.7,1131.7,0.30335,1.9324,4.153,34.4812,19.1183,119.03,1.54059467,8.2146,0.3845,133.7898,3.328,54.166,3.7507,3.64,66.1832,3.75,1.3805,14.63185,170.9457,9.0954,0.9918,32.883,6.7566,2.83662,3.6725,0.759705234,1,32.942
11-Oct-18,118.3545,1.414027149,0.376,,62.7228,10.74113856,3.7454,1.382,1.3038,683.57,6.9282,3090.3,22.335,6.4452,0.863930886,281.74,116.15,74.3875,15253,42000,3.635,112.15,372,1132.5,0.303,1.9324,4.159,34.4582,19.0217,118.73,1.546312046,8.2128,0.3845,133.8225,3.327,54.171,3.7399,3.64,66.7727,3.75,1.382,14.5603,171.3034,9.0398,0.9876,32.924,6.7657,2.82555,3.6725,0.757174226,1,32.971
12-Oct-18,118.3387,1.40390285,0.376,,62.7228,10.70663812,,1.3739,1.3031,683.7,6.9152,3087.34,22.269,6.4457,0.86400553,280.43,116.06,73.7967,15194,,3.628,112.16,370.03,1142.5,0.303,1.9324,4.156,34.3966,18.9202,118.6,1.531628121,8.18,0.3845,132.3248,3.33,54.238,3.713,3.64,65.9751,3.75,1.3739,14.44335,171.3456,8.9498,0.9914,32.7,6.7758,2.82362,3.6725,0.756458262,1,32.96
15-Oct-18,118.3334,1.406865504,0.376,,62.7228,10.67235859,3.7326,1.3789,1.2993,678.21,6.9275,3088.78,22.277,6.4424,0.863483292,280.12,115.87,73.9708,15246,42000,3.628,111.99,369.98,1133.3,0.3031,1.9324,4.158,34.3335,18.8096,117.7,1.53704273,8.1684,0.3845,133.2568,3.334,54.081,3.7091,3.64,65.7508,3.75,1.3789,14.42035,170.9078,8.9816,0.9853,,6.7678,,3.6725,0.759070897,1,
