Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Dec-20,129.4812,1.357220413,11.0864745,5.2783,1.3392,1.2952,767.29,6.5621,3591.84,21.922,6.22,0.835561497,73.5083,3.304,104.26,1104.9,0.30505,4.078,39.9961,20.0508,1.422879909,8.8593,0.3845,3.602,48.085,3.7367,3.64,76.3203,,1.3392,15.3367,8.5233,0.9058,30.263,6.7706,,0.750412727,1,42.39
02-Dec-20,129.2867,1.355932203,11.02535832,5.2261,1.3364,1.2934,760.16,6.5657,3558.57,21.887,6.1692,0.82877507,73.6501,3.289,104.34,1107.1,0.3046,4.0715,,20.0497,1.415628539,8.8681,0.3845,3.602,48.11,3.7038,3.64,75.6151,3.75,1.3364,15.4123,8.5191,0.89925,30.226,6.7726,,0.749372401,1,42.57
03-Dec-20,130.1279,1.349709812,11.04972376,5.1619,1.3372,1.288,755.34,6.5581,3533.21,21.748,6.1262,0.822977533,73.8938,3.275,104.45,1103.3,0.30445,4.0725,,19.9083,1.417032733,8.8116,0.3845,3.595,48.044,3.6981,3.64,75.1996,3.75,1.3372,15.28565,8.4719,0.89235,30.211,6.7748,,0.743992262,1,42.631
04-Dec-20,130.4961,1.346257404,10.97694841,5.17,1.3334,1.2801,752.03,6.5328,3481.44,21.814,6.1213,0.822436056,73.7413,3.266,103.8,1098.1,,4.064,,19.7838,1.413427562,8.767,,3.588,48.046,3.6765,,74.2529,,1.3334,15.1503,8.4415,0.88995,30.16,6.7546,,0.742638595,1,42.629
07-Dec-20,131.1052,1.34589502,11.00110011,5.1012,1.3342,1.2801,747.61,6.534,3467.49,21.835,6.1373,0.824538259,73.7657,3.273,104.08,1086.6,0.30435,4.071,39.983,19.8213,1.419647927,8.7672,0.3845,3.596,48.033,3.7001,3.64,74.2506,3.75,1.3342,15.24005,8.5007,0.8916,,6.7638,3.6725,0.754403832,1,42.651
08-Dec-20,131.1008,1.346619984,10.98901099,5.0914,1.3367,1.2808,,6.536,,21.793,6.1446,0.825491167,73.7613,3.248,104.05,1082.7,0.30435,4.069,,19.7537,1.420656343,8.7736,0.3845,,,3.6914,3.64,73.6618,3.75,1.3367,15.05405,8.4162,0.88995,30.129,6.7434,3.6725,0.751117287,1,42.671
09-Dec-20,131.1172,1.343724805,10.91703057,5.1103,1.3352,1.2803,744.82,6.5312,3487.65,21.672,6.1466,0.825832026,73.5882,3.256,104.15,1084.4,0.30435,4.0685,39.9526,,1.419446416,8.7342,0.3845,3.598,48.071,3.6657,3.64,73.3057,3.75,1.3352,14.96255,8.4487,0.88865,30.023,6.7388,3.6725,0.743024854,1,42.566
10-Dec-20,131.4624,1.337255951,10.94091904,5.0846,1.337,1.2734,739.45,6.5522,3465.76,21.715,6.143,0.825423029,73.6684,3.251,104.27,1083.6,0.30435,4.0625,,19.9572,1.424501425,8.832,0.3845,3.598,48.081,3.6574,3.64,73.7124,3.75,1.337,15.02525,8.4728,0.88915,,6.7538,3.6725,0.754489211,1,42.433
11-Dec-20,131.3488,1.322576379,10.94091904,5.0685,1.3338,1.2769,738.17,6.5385,3448.89,21.712,6.1375,0.824606251,73.5914,3.254,104.01,1086.2,,4.0545,39.8145,20.1075,1.409641951,8.8206,,3.593,48.067,3.663,,73.1195,,1.3338,15.12355,8.4594,0.88895,,6.7566,,0.758552681,1,42.446
14-Dec-20,131.5171,1.326259947,10.96491228,5.0572,1.3344,1.2757,733.55,6.54,3433.45,21.637,6.1191,0.822233185,73.5417,3.257,104.01,1089.3,0.30435,4.0495,39.8168,20.1778,1.4120305,8.7019,0.3845,3.582,48.072,3.6548,3.64,72.9272,,1.3344,15.0096,8.4156,0.88575,30.084,6.7681,3.6725,0.758552681,1,42.373
15-Dec-20,132.2206,1.331203408,10.95290252,5.0962,1.3361,1.2722,731.58,6.55,3426.97,21.712,6.1307,0.823723229,73.6532,3.255,104.1,1090.8,0.30435,4.065,39.8058,20.1113,1.411631846,8.743,0.3845,3.588,48.054,3.6554,3.64,73.4453,3.75,1.3361,15.95685,8.4163,0.88585,30.077,6.7673,3.6725,0.747440018,1,42.434
16-Dec-20,132.273,1.322051824,10.89324619,5.1051,1.3316,1.2753,734.23,6.5417,3422.44,21.497,6.1051,0.820411847,73.5209,3.253,103.7,1093.2,0.30405,4.051,39.7944,19.9513,1.410835214,8.679,0.3845,3.584,48.059,3.6334,3.64,73.4201,3.75,1.3316,,8.3449,0.8832,30.045,6.7797,3.6725,0.738934457,1,42.425
17-Dec-20,132.1984,1.318044023,10.83423619,5.0606,1.3276,1.2718,735.09,6.5336,3416.21,21.396,6.0753,0.816593173,73.4336,3.245,103.2,1092.2,0.3037,4.0415,39.6974,19.8173,1.406271973,8.5755,0.3845,3.581,48.059,3.6254,3.64,72.9781,3.75,1.3276,14.69455,8.3061,0.88355,29.904,6.7816,3.6725,0.734834846,1,42.35
18-Dec-20,132.1625,1.316829076,10.82251082,5.098,1.3264,1.2775,723.44,6.542,3410.82,21.323,6.0684,0.815727221,73.5146,3.241,103.25,1092.8,,,39.5992,19.9487,1.399384271,8.5784,,,48.059,3.6322,,73.3155,,1.3264,14.53395,8.2615,0.883,29.805,6.7641,,0.738934457,1,42.128
21-Dec-20,,1.321003963,10.84598698,5.1566,1.3328,1.2849,723.85,6.5493,3420.26,21.59,6.112,0.821490183,73.6498,3.251,103.38,1097.9,0.30375,,39.6097,20.0905,1.408252359,8.7503,0.3845,3.603,48.056,3.7082,3.64,74.6721,3.75,1.3328,14.86385,8.3422,0.8885,30.024,6.756,3.6725,0.753409177,1,42.194
22-Dec-20,132.4641,1.323276432,10.81081081,5.1467,1.335,1.2908,730.7,6.549,3442.41,21.489,6.079,0.817060217,73.8879,3.234,103.43,1101.2,0.3036,,39.5784,20.0562,1.411432604,8.6558,0.3845,,,3.6921,3.64,75.3498,3.75,1.335,14.58755,8.2745,0.88515,30.155,6.7476,3.6725,0.745934656,1,42.246
23-Dec-20,132.3703,1.324152542,10.82251082,5.1734,1.3352,1.2856,728.96,6.5349,3444.9,21.681,6.1138,0.821962847,73.8132,3.222,103.63,1106.6,0.3036,,39.5926,20.1175,1.422070535,8.7324,0.3845,,48.091,3.6919,3.64,75.4571,,1.3352,14.5965,8.305,0.88985,30.208,6.7327,3.6725,0.745156483,1,42.315
