Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
03-Sep-19,120.4933,1.488316714,11.09877913,4.1651,1.394,1.3343,724.72,7.1773,3427.29,23.665,6.8178,0.914327512,72.1899,3.549,106.3,1211.9,0.30405,4.225,,20.0039,1.589572405,9.1606,0.3845,3.403,52.136,3.9882,3.64,66.9072,3.75,1.394,15.11565,9.88,0.9907,30.661,,3.6725,0.831186103,1,36.699
04-Sep-19,120.272,1.47601476,11.01321586,4.1243,1.3898,1.3263,725.69,7.1553,3438.61,23.444,6.7693,0.907605736,72.07,3.527,105.99,1215.2,0.30385,4.2125,36.192,19.7806,1.57629256,9.0614,0.3845,3.389,52.258,3.9414,3.64,66.5002,3.75,1.3898,14.8608,9.7793,0.9845,30.599,,3.6725,0.819000819,1,36.651
05-Sep-19,120.0348,1.466920933,10.92896175,4.0853,1.3836,1.3228,723.3,7.1431,3401.04,23.379,6.7452,0.904322662,71.8611,3.512,106.4,1209.7,0.3037,4.193,36.2259,19.6834,1.569858713,8.9828,0.3845,3.366,52.129,3.933,3.64,66.0528,3.75,1.3836,14.82745,9.7106,0.98295,30.565,,3.6725,0.810668396,1,36.592
06-Sep-19,,1.465630954,10.94091904,4.0644,1.3844,1.3174,717.52,7.1225,3377.39,23.424,6.7665,0.906864968,71.7323,3.517,107.05,1199.6,0.3037,4.177,36.2219,19.5623,1.568135487,8.9988,0.3845,3.344,51.883,3.9315,3.64,65.9981,3.75,1.3844,14.73925,9.6811,0.99075,30.653,,3.6725,0.813140348,1,36.429
09-Sep-19,120.0506,1.457725948,10.92896175,4.076,1.3803,1.3155,711.22,7.1337,3361.7,23.431,6.7614,0.906371794,71.5886,3.527,106.95,1196.9,0.3037,,,19.5398,1.555935895,8.9425,0.3845,3.343,51.959,3.931,3.64,65.5698,3.75,1.3803,14.69435,9.6379,0.9912,30.653,6.7503,3.6725,0.80804816,1,36.476
10-Sep-19,119.9293,1.458363716,10.90512541,4.1102,1.3805,1.3153,713.72,7.102,3368.8,23.431,6.758,0.905797101,,3.538,107.43,1192.4,0.3037,4.171,36.1775,19.5354,1.554001554,8.9787,0.3845,3.344,51.844,3.9273,3.64,65.4393,3.75,1.3805,14.67125,9.6989,0.99085,30.643,6.7695,3.6725,0.810701257,1,36.598
11-Sep-19,119.9556,1.454545455,10.86956522,4.0625,1.3793,1.3181,714.77,7.1159,3373.75,23.507,6.7806,0.908843043,71.6637,3.544,107.64,1191.9,0.3037,4.1805,,19.5478,1.558846454,8.9744,0.3845,3.342,51.943,3.9324,3.64,65.4321,3.75,1.3793,14.67205,9.6814,0.9932,30.621,6.772,3.6725,0.809454428,1,36.523
12-Sep-19,120.14,1.45327714,10.89324619,4.0488,1.3763,1.3205,714.39,7.0847,3372.48,23.565,6.8067,0.912159081,71.3175,3.541,108.03,,0.3039,4.173,36.2116,19.4265,1.556420233,8.9887,0.3845,3.328,52.133,3.9362,3.64,65.1909,3.75,1.3763,,9.6573,0.99035,30.495,6.7731,3.6725,0.811655371,1,36.444
13-Sep-19,119.7501,1.454968718,10.83423619,4.061,1.3737,1.3257,711.29,,3359.2,23.286,6.7302,0.901225667,70.9387,3.527,108.2,,0.3039,4.1645,36.2186,19.3665,1.561036528,8.9413,0.3845,3.315,52.001,3.912,3.64,64.4711,3.75,1.3737,14.5131,9.6066,0.98655,30.427,6.7697,3.6725,0.803051596,1,36.451
16-Sep-19,119.8081,1.454545455,10.8577633,4.0866,1.3733,1.3248,707.07,7.0659,3356.15,23.461,6.7691,0.906536125,71.5362,3.538,,1191.4,0.30365,,36.2399,,1.567152484,8.9786,0.3845,3.322,51.835,3.9116,3.64,63.8272,3.75,1.3733,14.64035,9.6075,0.99115,30.49,6.7373,3.6725,0.803148341,1,36.644
