Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
03-May-21,133.9265,1.296344309,,5.4081,1.3318,1.2279,711.06,,3740.14,21.41,6.1744,0.830288941,74.1812,3.246,,1109.6,0.3014,4.102,,20.1902,1.394116827,8.3162,0.3845,3.807,48.156,,3.64,,3.75,1.3318,14.43865,8.4481,0.91205,,6.7508,3.6725,,1,43.867
04-May-21,133.7838,1.291489087,10.89324619,5.4499,1.3323,1.2315,706.29,,3816.65,21.499,6.1859,0.831877548,73.8546,3.252,,1119.3,0.3014,4.1125,40.5586,20.2235,1.391982183,8.329,0.3845,3.827,48.088,3.794,3.64,75.2567,3.75,1.3323,14.48875,8.4593,0.9147,,6.7516,3.6725,0.720538963,1,44.025
05-May-21,133.8933,1.294498382,10.90512541,5.3866,1.3345,1.2272,705.25,,3831.35,21.487,6.1941,0.832986256,73.9666,3.265,,,0.3014,4.117,40.6234,20.2077,1.394505648,8.3172,0.3845,3.824,48.043,3.8136,3.64,74.8617,3.75,1.3345,14.4232,8.5016,0.91375,31.183,6.7632,3.6725,0.718726417,1,44.097
06-May-21,133.7473,1.291822762,10.86956522,5.2891,1.337,1.22,703.09,6.4759,3846.28,21.431,6.1658,0.829187396,73.9406,3.261,109.3,1121.1,0.3014,4.1245,40.598,20.1838,1.383508578,8.3381,0.3845,3.815,48.027,3.8066,3.64,74.577,,1.337,14.26715,8.4717,0.9088,31.202,6.759,3.6725,0.720538963,1,43.973
07-May-21,133.5101,1.28584287,10.81081081,5.2211,1.3327,1.2156,701.27,6.4618,3800.33,21.295,6.1664,0.829256157,73.7443,3.261,109.13,1125.5,,4.1165,40.6429,19.9223,1.38121547,8.3029,,3.796,47.979,3.7861,,74.1373,,1.3327,14.24685,8.4097,0.90905,31.234,6.7591,,0.71880391,1,43.845
10-May-21,133.4479,1.272912424,10.71811361,5.2221,1.3262,,694.47,6.4279,3765.33,21.027,6.1107,0.82176021,73.4135,3.251,108.86,1121.4,0.30085,4.1055,40.6991,19.886,1.373249107,8.2183,0.3845,3.773,47.9,3.7493,3.64,,3.75,1.3262,14.0423,8.3255,0.89995,31.116,6.7741,3.6725,0.709320471,1,43.969
11-May-21,133.4601,1.275672917,10.72961373,5.2397,1.3266,1.2096,693.74,6.4267,3714.94,21.015,6.1101,0.821692687,73.4518,3.284,108.9,1114.6,0.30085,4.1158,40.7079,19.8848,1.377031121,8.2432,0.3845,3.696,47.825,3.7514,3.64,74.1567,3.75,1.3266,13.9636,8.3517,0.90215,31.096,6.7785,,0.707914484,1,
12-May-21,,1.282873637,10.71811361,5.2347,1.3293,,700.04,6.4414,3703.2,21.063,6.1363,0.825218683,73.4389,3.279,108.85,1119.1,,4.131,40.6683,20.094,1.37988133,8.2739,,,47.87,3.7456,,74.04,,1.3293,13.9778,8.3239,0.90435,31.217,6.758,,0.707063565,1,44.056
13-May-21,,1.297185108,,5.2809,,,707.19,6.4536,3734.09,21.172,,0.827746048,,3.296,109.61,1123.5,,,40.687,20.0495,1.393339836,,,,,3.7675,,74.3566,,,14.1575,,0.90435,31.332,,,0.71311417,1,44.169
14-May-21,,1.292657704,10.75268817,5.2695,,1.2109,708.64,6.4315,3728.09,21.024,,0.82487833,73.3721,3.283,109.6,1130.6,,,,19.8487,1.393339836,8.2549,,3.672,,3.7374,,73.9968,,1.3352,14.1032,8.3814,0.9047,31.356,6.7606,,0.71063104,1,44.182
17-May-21,133.4723,1.290156109,10.76426265,5.2749,,1.2081,703.17,6.4397,,20.996,6.1239,0.823519723,73.2423,,109.43,1129.5,0.30095,4.134,40.6911,19.8028,1.38427464,,0.3845,3.702,47.825,3.7288,3.64,73.8537,3.75,1.3355,14.1763,8.3475,0.9003,31.427,6.7466,3.6725,0.709421112,1,
