Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-May-14,,1.07584723,0.376,6.2842,,2.236,,1.0965,564.59,,1933.46,,5.3785,,,,,,25515,3.454,102.28,182.06,1031.7,0.2809,1.9324,,,,96.54,1.161035644,,0.3845,,,,,3.64,35.7227,3.75,,,,,0.8788,,6.453,,3.6725,0.591645959,1,
02-May-14,78.504,1.077934677,0.376,6.2842,8.741258741,2.236,,1.0973,564.59,,1933.46,19.798,5.3846,0.721396624,,111.9,60.225,11537,,3.458,102.34,182.06,1032.2,0.2809,1.9324,3.269,29.9777,12.9981,96.5,1.158882837,5.9411,0.3845,98.8192,2.803,44.541,3.0289,3.64,,3.75,,10.5428,,6.5295,0.8793,32.398,6.4516,,3.6725,0.593084633,1,22.934
05-May-14,78.4698,1.078865034,0.376,6.2842,8.72600349,2.2221,1.2506,1.0955,563.39,6.156,1926.3,19.776,5.3798,0.720772668,221.63,111.81,60.0475,11511,25508,3.458,,182.02,,0.2809,1.9324,3.258,29.9824,13.0102,96.26,1.154334526,5.9539,0.3845,98.8611,2.805,44.531,3.031,3.64,35.8381,3.75,1.2509,10.50685,130.5957,6.5265,0.8776,,6.4462,1.6049,3.6725,0.592803367,1,22.982
06-May-14,78.3443,1.076889942,0.376,6.2842,8.710801394,2.2286,1.2506,1.089,565.09,6.1565,1923.07,19.677,5.3525,0.717102904,220.9,111.8,60.202,11511,25505,,,182.01,,0.2808,1.9324,3.2587,29.976,13.0129,96.34,1.151675688,5.9104,0.3845,98.7725,2.802,44.414,3.0196,3.64,35.655,3.75,1.2506,10.50285,130.6,6.5215,0.8735,32.375,6.4145,1.6033,3.6725,0.589414122,1,23.002
07-May-14,78.3519,1.070205479,0.376,6.2842,8.72600349,2.2322,1.2479,1.0896,566.88,6.1542,1918.2,19.689,5.3594,0.718029726,220.55,111.83,60.0399,11527,25501,3.449,101.6,182.01,1031.2,0.2805,1.9324,3.249,29.924,12.9876,96.18,1.14955742,5.9047,0.3845,98.4613,2.799,44.356,3.0187,3.64,35.4971,3.75,1.2479,,130.6,6.5034,0.8744,32.382,6.4298,1.5975,3.6725,0.589448865,1,22.995
08-May-14,78.4203,1.066894271,0.376,6.2842,8.658008658,2.2282,1.2496,1.0858,566.11,6.1557,,,5.3492,0.716691751,218.1,111.72,59.9913,11624,25511,3.447,101.83,182.01,1025.6,0.2806,1.9324,3.2495,29.9011,12.9477,96.22,1.155668554,5.8611,0.3845,98.5543,2.788,44.273,3.0042,3.64,35.0343,3.75,1.2496,10.3643,130.6,6.4895,0.8734,32.451,6.4514,1.6031,3.6725,0.589344649,1,22.955
09-May-14,78.6142,1.068147832,0.376,6.2842,8.673026886,2.2107,1.2476,1.09,555.74,6.1581,1902.15,19.878,5.4162,0.725636746,219.77,112.8,60.054,11563,,3.452,101.67,182.01,1023.5,0.2806,1.9324,3.2265,29.925,12.9843,96.11,1.156203029,5.9045,0.3845,98.5916,2.786,44.232,3.0247,3.64,,3.75,1.2476,10.3635,130.5403,6.5168,0.8828,32.565,6.4498,1.6009,3.6725,0.591856061,1,22.942
12-May-14,78.6713,1.06803375,0.376,6.2842,8.665511265,2.2192,1.2496,1.0887,555.77,6.1625,1901.51,19.9,5.4226,0.726480203,220.48,113.23,59.729,11536,25524,3.456,102,182.04,1023,0.28125,1.9324,3.2335,29.9958,12.9534,96.07,1.159554731,5.9132,0.3845,98.6965,2.784,43.775,3.0362,3.64,35.2091,3.75,1.2496,10.3376,130.4841,6.5548,0.8874,32.631,6.4477,1.6129,3.6725,0.592101368,1,22.967
13-May-14,78.8043,1.070205479,0.376,6.2842,8.643042351,2.2164,,1.0892,551.36,6.1636,1904.85,20,5.4469,0.729767204,220.66,113.49,59.8773,11525,,3.457,102.21,182.02,1025,0.28125,1.9324,,30.0627,12.9234,96.09,1.159689203,5.933,0.3845,98.8527,2.784,43.721,3.0381,3.64,34.8789,3.75,,10.30985,130.3587,6.5527,0.8898,,6.4248,1.61608,3.6725,0.594106464,1,22.949
14-May-14,78.7664,1.063716626,0.376,6.2842,8.680555556,2.2101,1.2507,1.0887,549.05,6.1653,1919.7,19.999,5.4411,0.728916102,221.17,113.34,,11487,25535,3.457,102.15,182.05,1022.9,0.28145,1.9324,3.2235,30.0907,12.8993,,1.15928588,5.9162,0.3845,98.6511,2.784,43.781,3.048,3.64,34.709,3.75,1.2507,10.33,,6.5496,0.8898,32.5,6.4356,1.61986,3.6725,0.596196268,1,22.956
