Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
02-Dec-19,120.0925,1.476232654,10.84598698,4.2255,1.368,1.3297,812.13,7.0421,3522.48,23.166,6.7778,0.907194049,71.7217,3.474,109.66,1180.3,0.30375,4.1795,36.7413,19.5717,1.553036186,9.1947,0.3845,3.399,50.758,3.9047,3.64,64.4097,3.75,1.368,14.6775,9.5702,0.99785,30.245,6.759,,0.77411364,1,37.69
03-Dec-19,119.8343,1.461774594,10.81081081,4.2002,1.3652,1.3302,804.29,7.0468,3508.39,23.056,6.7491,0.903260771,71.6006,3.481,109.13,1180.4,0.3035,4.173,36.6842,19.5678,1.538461538,9.1833,0.3845,3.389,50.892,3.8706,3.64,64.1401,3.75,1.3652,14.6228,9.5089,0.98865,30.273,6.7375,,0.769674812,1,37.618
04-Dec-19,119.7974,1.465201465,10.82251082,4.192,1.3641,1.3223,802.44,7.0721,3506.67,23.016,6.7426,0.902445628,71.78,3.471,108.55,1186.2,0.3034,4.1815,36.6196,19.4707,1.533742331,9.1799,0.3845,3.383,51.059,3.8647,3.64,64.1948,3.75,1.3641,14.5652,9.5417,0.9887,30.29,6.749,3.6725,0.765579544,1,37.811
05-Dec-19,119.7395,1.462202076,10.81081081,4.213,1.3627,1.3174,796.75,7.0426,3478.57,23.009,6.7348,0.901388138,71.5476,3.467,108.86,1193.7,0.3034,4.173,36.604,19.3688,1.526251526,9.1593,0.3845,3.374,51.067,3.8566,3.64,63.8135,3.75,1.3627,14.66915,9.4964,0.9885,,6.7304,3.6725,0.761324705,1,37.811
06-Dec-19,119.6371,1.461347362,10.82251082,4.1777,1.3603,1.3255,784.25,7.0311,3459.97,23.017,6.7354,0.901388138,71.3165,3.463,108.78,1190.2,,4.1625,36.5892,19.3247,1.528117359,9.1252,,3.375,50.859,3.85,,63.7185,,1.3603,14.63285,9.485,0.98855,30.351,6.7422,,0.761614623,1,37.713
09-Dec-19,119.824,1.463700234,10.81081081,4.1497,1.3606,1.3235,779.04,7.0382,3430.31,23.047,6.747,0.902934537,71.162,3.471,108.58,1189.7,0.3034,4.1635,36.598,19.2302,1.525320317,9.1411,0.3845,3.376,50.765,3.8704,3.64,63.7244,3.75,1.3606,14.6296,9.5054,0.9901,30.346,6.7504,3.6725,0.759359101,1,37.802
10-Dec-19,119.7923,1.464343242,10.83423619,4.1421,1.3599,1.3233,771.29,7.0366,3418.48,23.043,6.7465,0.902771509,70.8962,3.465,108.64,1189.3,0.3034,4.161,36.6403,19.2362,1.526251526,9.1923,0.3845,3.387,50.836,3.8711,3.64,63.5788,3.75,1.3599,14.7886,9.5331,0.98575,,6.7615,3.6725,0.758926877,1,37.977
11-Dec-19,119.729,1.466705779,10.88139282,4.1147,1.3599,1.3201,778.14,7.0396,3418.61,23.042,6.7474,0.902934537,70.8679,3.477,108.74,1192,0.3033,4.163,36.682,19.1785,1.529285824,9.1643,0.3845,3.39,50.736,3.866,3.64,63.5653,3.75,1.3599,14.7784,9.4803,0.9851,30.306,6.7684,3.6725,0.76048519,1,37.937
12-Dec-19,119.5182,1.453065969,10.82251082,4.1086,1.3563,1.3182,772.93,7.0314,3387.73,22.915,6.7102,0.897907875,70.7494,3.481,108.58,1193.3,0.3031,4.1545,36.6069,,1.518372305,9.1003,0.3845,3.389,50.763,3.8505,3.64,63.2257,3.75,1.3563,14.6842,9.3846,0.9828,30.191,6.7649,3.6725,0.758725341,1,37.826
13-Dec-19,119.3915,1.443834825,10.74113856,4.0943,1.3517,1.3183,768.69,6.9851,3372.23,22.831,6.6879,0.89493467,70.7178,3.476,109.5,1188.6,,4.1415,36.5669,19.0455,1.513317191,9.0057,,3.367,50.733,3.8234,,62.5544,,1.3517,14.41035,9.3476,0.9828,30.183,6.751,,0.746881769,1,37.784
