Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Feb-19,,1.38102472,10.30927835,3.6688,1.3482,1.3095,657.81,6.7355,3115.7,22.398,6.5081,0.871763578,71.1102,3.633,108.88,1111.6,0.3028,,,19.1098,1.445504481,8.4286,0.3845,3.326,52.161,3.7243,3.64,65.6601,3.75,1.3482,13.30355,,0.993,31.347,6.7752,3.6725,0.765579544,1,32.467
04-Feb-19,118.0339,1.383700014,10.35196687,3.675,1.3527,1.3127,655.39,,3102.61,22.48,6.5228,0.873743993,71.658,3.627,109.53,,0.303,4.0925,34.0579,,1.450326323,8.4779,0.3845,3.327,52.235,3.7408,3.64,65.5859,3.75,1.3527,13.39095,9.061,0.99715,31.323,6.78,3.6725,0.765462339,1,32.469
05-Feb-19,118.339,1.377410468,10.34126163,3.6735,,1.3134,653.8,,3089.4,22.508,6.5351,0.875426771,71.7459,3.61,109.99,,0.30315,,,19.0824,1.454757056,8.4726,0.3845,3.328,,3.7542,3.64,65.5691,3.75,,13.3611,9.1271,1.00125,31.303,6.7482,3.6725,0.768491835,1,32.473
06-Feb-19,118.4494,1.398014819,10.38421599,3.7013,,1.319,652.78,,3094.05,22.629,6.5519,0.877654906,71.5731,3.619,109.75,,0.30325,,34.0449,19.1058,,8.5061,0.3845,3.325,52.358,3.7706,3.64,65.6686,3.75,,13.4673,9.1519,1.00075,31.261,6.7314,3.6725,0.772111338,1,32.528
07-Feb-19,118.7123,1.408649106,10.44932079,3.7187,1.3558,1.3285,653.9,,3108.54,22.747,6.5788,0.881445571,71.4688,3.627,109.88,1116.8,0.3034,4.0785,34.1153,19.08,1.477323091,8.5723,0.3845,3.321,52.31,3.7919,3.64,66.0199,3.75,1.3558,13.6139,9.2353,1.00275,31.276,6.7295,3.6725,0.7768197,1,32.584
08-Feb-19,118.6808,1.413227812,10.43841336,3.7178,1.357,1.327,654.44,,3110.46,22.745,6.578,0.881367883,71.2949,3.634,109.8,1123.4,0.3034,4.0725,34.1847,19.0893,1.484340211,8.6103,0.3845,3.321,52.29,3.804,3.64,66.0628,3.75,1.357,13.62685,9.2637,1.0015,31.375,6.7406,3.6725,0.771575171,1,32.572
11-Feb-19,118.7281,1.409840688,10.49317943,3.7385,1.3565,1.3294,656.46,6.7776,3115.94,22.845,6.5998,0.884251481,71.1621,3.643,,1124.5,0.3035,4.0725,,19.2524,1.4781966,8.6825,0.3845,3.328,52.161,3.819,3.64,65.6517,3.75,1.3565,13.7648,9.2736,1.0029,31.422,6.737,,0.774353415,1,32.592
12-Feb-19,118.8701,1.414027149,10.51524711,3.729,1.3595,1.3248,660.82,6.7781,3132.61,22.901,6.6061,0.885269122,70.9353,3.643,110.5,1124.5,0.30375,4.077,34.246,19.2592,1.487652484,8.6712,0.3845,3.331,51.998,3.838,3.64,65.7147,3.75,1.3595,13.77905,9.3011,1.00835,31.369,6.7224,3.6725,0.777937687,1,32.556
13-Feb-19,118.7912,1.401738155,10.5374078,3.7271,1.3543,1.324,660.49,6.7594,3131.1,22.819,6.6004,0.884564352,70.5547,3.637,110.55,1124.6,0.30355,4.065,34.2265,19.4084,1.472537182,8.6342,0.3845,3.336,52.195,3.8261,3.64,65.6783,3.75,1.3543,13.86775,9.2557,1.0048,31.267,6.7459,3.6725,0.772678102,1,32.576
14-Feb-19,118.8543,1.40469167,10.64962726,3.775,1.3577,1.3298,661.6,6.7668,3135.56,22.885,6.6218,0.887468939,70.9408,3.662,111,1121.7,0.3038,4.063,34.2313,19.3569,1.468213185,8.6604,0.3845,3.339,52.003,3.8516,3.64,66.5429,3.75,1.3577,14.13895,9.2711,1.0087,31.374,6.7553,3.6725,0.780822987,1,32.589
15-Feb-19,118.9647,1.409840688,10.63829787,3.7149,1.3584,1.3266,665.9,6.7787,3155.27,22.823,6.6263,0.888099467,71.2515,3.641,110.38,1125,0.3038,4.0805,34.2227,19.3625,1.466705779,8.6758,0.3845,3.327,52.263,3.8326,3.64,66.7044,3.75,1.3584,14.0977,9.3262,1.0062,31.296,6.7608,3.6725,0.780092051,1,
19-Feb-19,118.8385,1.405876564,10.64962726,3.72,1.3579,1.3238,660.82,6.7726,3141.4,22.771,6.607,0.88542589,,3.631,110.68,1124.7,0.30365,4.088,34.2084,19.1778,1.46113384,8.6294,0.3845,3.314,52.344,3.8311,3.64,66.2022,3.75,1.3579,14.1778,9.2685,1.0055,31.224,6.7679,3.6725,0.774083678,1,32.635
20-Feb-19,118.7018,1.396063102,10.62699256,3.7094,1.352,1.3169,658.75,6.7241,3118.36,22.646,6.5786,0.881678716,71.1773,3.617,110.84,1127.5,0.30345,4.0695,34.1987,19.1835,1.454545455,8.5818,0.3845,3.316,52.313,3.8221,3.64,65.8568,3.75,1.352,14.2466,9.3118,1.00095,31.09,6.7615,3.6725,0.767813268,1,32.659
21-Feb-19,118.5545,1.396258028,10.54852321,3.7589,1.3511,1.3196,654.52,6.7144,3112.18,22.586,6.572,0.880746873,71.154,3.617,110.72,1122.6,0.30345,4.0695,34.1573,19.2652,1.456876457,8.6144,0.3845,3.319,52.109,3.8247,3.64,65.5401,3.75,1.3511,13.8998,9.3174,1.001,31.156,6.7569,3.6725,0.765960706,1,32.709
