Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,Bolivar Soberano   (VES)                     
01-Jun-22,145.4071,1.395089286,12.03369434,4.7759,1.3725,1.2639,824.35,6.6893,23.102,6.9448,0.933532487,77.5554,3.325,128.92,,0.3058,4.387,43.4682,19.7388,1.534212949,9.3762,0.3845,3.718,52.412,4.2817,3.64,61.4733,3.75,1.3725,15.52795,9.7826,0.9622,34.333,6.7307,3.6725,0.794281176,1,40.033,,,,,,,,,,,,,,
02-Jun-22,145.6214,1.397233478,12.01923077,4.7873,1.3766,1.2597,825.28,6.6764,23.095,6.9576,0.935278713,77.5883,3.34,130.04,1238.4,0.30605,4.393,43.493,19.5585,1.545117429,9.4318,0.3845,3.707,52.461,4.2931,3.64,61.575,3.75,1.3766,15.53495,9.8083,0.9595,34.385,6.7391,3.6725,,1,40.009,,,,,,,,,,,,,,
03-Jun-22,145.2371,1.377979881,11.96172249,4.795,1.371,1.2579,815.56,,23.029,6.9327,0.931966449,77.5994,,129.82,1251.2,,4.386,43.5584,19.5742,1.525436656,9.4157,,3.702,52.58,4.2689,,61.9659,,1.371,15.49495,9.6968,0.9591,,6.7441,,,1,39.876,,,,,,,,,,,,,,
06-Jun-22,145.2624,1.388696014,11.99040767,4.7833,1.3753,1.2564,813.38,6.6459,23.043,,0.932314003,77.6718,3.332,130.75,,0.30595,,43.6784,19.5547,,,0.3845,3.724,52.821,4.2675,3.64,61.1094,3.75,1.3753,15.30855,,,34.391,6.7424,3.6725,0.796558866,1,39.689,,,,,,,,,,,,,,
07-Jun-22,145.615,1.393339836,12.01923077,4.8903,1.379,1.2555,817.99,6.6648,23.202,6.9776,0.937910336,77.7239,3.338,132.23,1241.1,0.30615,4.397,43.7063,19.5998,1.545833977,9.552,0.3845,3.747,52.916,4.2935,3.64,60.9565,3.75,1.379,15.39285,9.8218,0.97625,34.461,6.759,3.6725,0.800256082,1,39.647,,,,,,,,,,,,,,
08-Jun-22,145.6403,1.388503194,11.9760479,4.8705,1.3751,1.254,828.99,6.6774,22.944,6.9267,0.931185399,77.7251,3.339,132.9,1257.1,0.30615,4.3925,43.7655,19.59,1.544759404,9.4418,0.3845,3.751,52.922,4.2904,3.64,60.2282,3.75,1.3751,15.33815,9.8068,0.97745,34.482,6.7666,3.6725,0.797638989,1,39.48,,,,,,,,,,,,,,
09-Jun-22,145.4891,1.393534002,11.93317422,4.8945,1.3758,1.2644,821.66,6.6869,22.985,6.9246,0.930838686,77.787,3.338,134.44,1255.4,0.30615,4.392,43.8942,19.6128,1.5536394,9.4776,0.3845,3.749,52.899,4.2764,3.64,58.3895,3.75,1.3758,15.2801,9.8291,0.97775,34.517,6.7679,3.6725,0.797861731,1,39.376,,,,,,,,,,,,,,
10-Jun-22,145.9237,1.404297149,12.00480192,4.983,1.381,1.2777,827.19,6.6885,23.355,7.0324,0.945358291,77.84,,134.2,1257.6,,4.399,43.958,19.9297,1.563232765,9.5949,,3.765,52.945,4.3363,,57.778,,1.381,15.6255,9.8975,0.9815,34.67,6.757,,0.803729304,1,39.575,,,,,,,,,,,,,,
13-Jun-22,146.3441,,12.25490196,5.1361,1.3907,,838.61,6.7347,23.649,7.1159,0.956480153,78.143,,135,,0.3066,4.415,44.1207,20.4527,1.58115266,9.873,,,52.951,4.4209,3.64,,3.75,1.3907,16.05755,10.0676,0.99275,34.812,6.7614,,0.819705726,1,40.097,,,,,,,,,,,,,,
14-Jun-22,146.3493,1.435544071,12.25490196,,1.3927,,863.33,6.7316,23.689,,0.956754688,78.0015,,134.12,,0.3067,4.424,44.1419,20.6583,,,,,,4.4478,3.64,57.0926,3.75,1.3927,16.0585,10.1332,0.99415,34.951,,3.6725,0.827403607,1,,,,,,,,,,,,,,,
15-Jun-22,146.0823,1.448016218,12.23990208,,1.3919,,866.79,6.7201,23.689,7.1318,0.958680855,78.0755,3.454,134.99,,0.30685,4.4193,44.1689,20.6675,1.603206413,9.9576,0.3845,3.719,53.273,4.4455,3.64,56.6624,3.75,1.3919,16.01095,10.136,0.99855,35.079,,3.6725,0.827061451,1,40.084,,,,,,,,,,,,,,
16-Jun-22,146.5735,1.428775539,,,1.3878,,863.95,6.7135,,,0.961538462,78.0864,,134.26,,0.3067,4.3993,44.2361,20.5728,,10.0565,0.3845,,53.37,,3.64,,3.75,1.3878,,10.2683,,34.963,,3.6725,0.827369379,1,,,,,,,,,,,,,,,
17-Jun-22,145.8095,1.42612664,12.22493888,,1.3859,,869.62,6.7013,23.599,,0.953652489,78.0875,3.46,133.2,,,4.402,44.379,,1.57629256,,,,,4.463,,,,1.3859,15.93885,10.1651,0.96435,35.228,,,0.81300813,1,,,,,,,,,,,,,,,
21-Jun-22,145.653,1.436781609,12.25490196,5.1456,1.3855,1.2929,,6.6967,23.396,7.0515,0.947867299,78.0861,3.454,135.19,,,4.399,44.462,20.1963,1.577411468,9.7899,0.3845,3.717,54.005,4.3917,3.64,54.7081,3.75,1.3855,15.9244,10.0772,0.9666,35.385,6.7669,3.6725,0.814067079,1,39.814,,,,,,,,,,,,,,
22-Jun-22,145.9598,1.44571346,12.25490196,5.1503,1.3878,1.2942,880.82,6.7207,23.484,7.0703,0.950479992,78.2115,3.464,136.47,,0.30655,4.402,44.6162,20.0465,1.588562351,9.9843,0.3845,3.724,54.207,4.4338,3.64,53.2788,3.75,1.3878,15.96815,10.1635,0.9652,35.474,6.767,3.6725,0.816393175,1,39.84,,,,,,,,,,,,,,
23-Jun-22,145.8909,1.449695564,12.22493888,5.1827,1.3884,1.2982,886.64,6.7081,23.589,7.0893,0.953016297,78.2662,3.447,135.2,1295.7,0.3063,4.406,44.7049,20.0365,1.597444089,9.9828,0.3845,3.747,54.484,4.4881,3.64,53.3578,3.75,1.3884,16.01665,10.1694,0.96565,35.431,6.7708,3.6725,0.81879964,1,39.722,,,,,,,,,,,,,,
24-Jun-22,145.8158,1.447596989,12.22493888,5.2328,1.3887,1.2933,898.8,6.6958,23.501,7.0694,0.950209046,78.3308,3.442,135.19,1300.7,,4.406,44.7537,19.8707,,9.915,,3.774,54.491,4.4656,,53.3234,,1.3887,15.9189,,0.95715,35.54,6.7803,,0.812644752,1,39.716,,,,,,,,,,,,,,
