Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,Bolivar Soberano   (VES)                     
02-May-22,,1.419849496,,5.026,,,850.78,,23.443,7.0687,0.950209046,76.4346,3.352,130.07,1265.4,,,43.2385,,1.553880817,9.4306,,3.838,52.335,4.4454,3.64,,,,,9.8383,0.9731,,,,,1,40.926,,,,,,,,,,,,,,
03-May-22,,1.407063459,12.19512195,5.0161,,1.2847,860.64,,23.357,7.0484,0.947328534,,3.369,,1265.8,,,,20.335,1.54762826,9.3871,,,,,,,,,15.9492,9.8743,0.97725,34.464,6.7584,,0.800224063,1,41.1,,,,,,,,,,,,,,
04-May-22,145.5768,1.406469761,12.09189843,5.0087,,1.281,856.74,,23.402,7.0657,0.949577438,76.4841,3.356,,1265.7,,,43.2052,20.2535,1.551229349,9.4048,,,52.297,4.4456,,69.416,,1.3841,15.9492,9.8935,0.98155,,6.7416,,0.798849656,1,41.261,,,,,,,,,,,,,,
05-May-22,145.4319,1.38102472,11.99040767,,1.3735,,859.33,6.6179,23.287,7.0406,0.946252839,76.0887,,,,,4.3365,43.2143,20.2218,1.524738888,9.3171,,3.786,52.46,4.4017,,66.2378,,1.3735,15.69815,9.7667,0.9773,34.101,,3.6725,0.796876245,1,,,,,,,,,,,,,,,
06-May-22,145.7391,1.40944327,12.21001221,5.0744,1.3853,1.2882,863.1,6.6805,23.336,7.0388,0.946073794,76.747,,130.5,1261.8,,4.3725,43.2162,20.1085,1.558846454,9.4426,,3.803,52.331,4.4502,,67.3843,,1.3853,16.0344,10.0027,0.98325,34.375,6.7467,,0.80824409,1,41.595,,,,,,,,,,,,,,
09-May-22,145.7521,1.428163382,12.23990208,5.1334,1.391,1.2964,857.58,6.726,23.726,7.0447,0.947059381,77.3679,3.438,130.8,1272.7,0.30695,4.3795,43.2622,20.3172,1.568873549,9.5258,0.3845,3.814,,4.4784,3.64,,3.75,1.391,,10.0038,,34.526,6.7652,3.6725,0.810011745,1,41.786,,,,,,,,,,,,,,
10-May-22,145.389,1.433691756,12.22493888,5.1384,1.3884,1.3012,867.87,6.7242,23.697,7.0481,0.947508054,77.3537,3.463,130.35,1274.6,0.3067,4.377,43.2359,20.372,1.586420243,9.6944,0.3845,3.81,52.485,4.4223,3.64,,3.75,1.3884,16.1312,10.0564,0.99615,34.568,6.7763,3.6725,0.809388911,1,41.653,,,,,,,,,,,,,,
11-May-22,145.4953,1.437814522,12.22493888,5.1238,1.3889,1.297,868.06,6.7276,24.034,7.0495,0.947597839,77.2641,3.425,130.4,1275.5,0.3068,4.3835,43.2449,,1.58579131,9.6459,0.3845,3.78,,4.419,3.64,68.8389,3.75,1.3889,16.03165,10.0173,0.9901,34.677,,3.6725,0.810307106,1,,,,,,,,,,,,,,,
12-May-22,146.0712,1.453699666,12.25490196,5.1476,1.3913,1.3039,861.76,6.7838,23.953,7.1496,0.960799385,77.5868,3.466,129.74,1277,0.3068,4.3865,43.2642,20.32,1.588688538,9.8864,0.3845,3.795,52.267,4.4863,3.64,65.7916,3.75,1.3913,,10.1327,0.99615,34.728,6.7531,3.6725,0.819101446,1,41.753,,,,,,,,,,,,,,
13-May-22,146.2839,1.449695564,12.23990208,5.1069,1.3948,1.2953,867.93,6.7825,23.825,,0.962927299,77.3543,3.412,128.9,1286.4,,4.397,43.257,20.1443,1.602949427,,,3.772,52.386,4.4849,,63.7799,,1.3948,16.13065,10.1011,0.9996,34.736,6.7518,,0.819705726,1,41.442,,,,,,,,,,,,,,
