Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Jul-16,,1.340482574,0.376,9.975,,3.2092,1.3452,,661.37,6.6581,2919.01,24.335,6.6798,0.898069151,284.88,122.73,67.441,13172,,3.844,102.9,338.04,1152.6,0.30175,1.9324,3.993,35.5146,18.309,108.04,1.40291807,8.3498,0.3845,,,47.007,3.9548,3.64,64.0165,3.75,1.3452,14.5798,145.25,8.4706,0.9743,,6.6508,2.19229,3.6725,0.7525587,1,
05-Jul-16,110.2934,1.330317946,0.376,9.975,10.89324619,3.2474,1.3473,1.2949,659.26,6.6687,2914.38,,6.675,0.897182846,284.74,122.45,67.4028,,30790,3.869,102.17,337.07,1148.1,,1.9324,4.0005,35.4976,18.7536,107.56,1.388503194,8.3615,0.3845,,3.286,46.833,3.9963,3.64,64.2676,3.75,1.3473,14.7647,145.246,8.4209,0.9714,35.126,6.6344,,3.6725,0.759878419,1,30.714
06-Jul-16,110.6312,1.344809037,0.376,9.975,10.94091904,3.2898,,1.3005,661.29,6.6891,2966.87,,6.7225,0.903423977,286.43,123.01,,,,3.895,100.9,,1153,,1.9324,,,18.8161,107.97,1.409840688,8.4486,0.3845,,3.28,,4.0225,3.64,64.6304,3.75,,14.8782,,8.5296,0.9779,35.229,6.6456,,3.6725,0.770356675,1,30.615
07-Jul-16,110.5089,1.329610424,0.376,9.975,10.86956522,3.3236,1.3502,1.2984,664.51,6.6849,3003.2,24.417,6.7158,0.902527076,285.6,122.74,67.4972,,,3.878,100.95,337.26,1165.8,,1.9324,,35.552,18.8607,107.94,1.400364095,8.4641,0.3845,,3.282,46.9,4.0036,3.64,64.05,3.75,1.3502,14.6636,145.246,8.5555,0.9769,35.193,,,3.6725,0.767400813,1,30.447
08-Jul-16,110.6312,1.335470085,0.376,9.975,10.8577633,3.3382,1.3494,1.3073,664.06,6.688,2986.49,24.421,6.722,0.903342367,284.37,122.9,67.4584,,,3.882,100.9,338.46,1156.6,,1.9324,4.0425,35.5095,18.5991,107.84,1.37532664,8.4851,0.3845,,3.277,47.04,4.0001,3.64,64.2488,3.75,1.3494,14.7973,145.25,8.5688,0.98,35.216,6.6527,,3.6725,0.770238004,1,30.308
11-Jul-16,110.6362,1.322926313,0.376,9.975,10.79913607,3.2962,1.3457,1.3127,661.5,6.6882,2952.64,24.458,6.7311,0.905059281,284.55,122.98,67.1426,13112,30850,3.883,100.72,,1159.2,0.3018,1.9324,3.9855,35.5267,18.4597,107.79,1.372495196,8.5131,0.3845,104.8649,,47.095,4.006,3.64,64.2024,3.75,1.3457,14.4481,145.25,8.5951,0.9833,35.114,6.6475,2.20973,3.6725,0.770356675,1,
12-Jul-16,110.5431,1.317870322,0.376,9.975,10.74113856,3.3025,1.35,1.3016,657.84,6.6887,2929.81,,6.7056,0.901550667,281.95,122.47,67.1471,13151,30849,3.874,103,,1147.8,0.302,1.9324,,35.5267,18.3006,107.47,1.37988133,8.4294,0.3845,104.832,,47.163,3.9807,3.64,,3.75,1.35,14.31375,145.25,8.5215,0.9819,35.144,6.6714,2.21203,3.6725,0.759820682,1,
13-Jul-16,110.5333,1.315443304,0.376,9.975,10.74113856,3.2744,1.3478,1.2965,657.82,6.6911,2911.91,24.415,6.7177,0.903179191,283.71,122.23,67.2046,13095,30865,3.871,104.3,338.35,1149.3,,1.9324,3.9865,35.5338,18.3937,107.43,1.376651982,8.4127,0.3845,104.856,3.278,47.394,3.9809,3.64,63.8531,3.75,1.3478,14.3163,145.2477,8.5661,0.9847,35.2,6.6742,2.20474,3.6725,0.752049334,1,30.292
14-Jul-16,110.5236,1.313887794,0.376,9.975,10.71811361,3.289,1.3471,1.2915,658.2,6.6879,2936.53,24.235,6.6665,0.896298288,282.36,122.11,66.9136,13088,30864,3.852,104.15,338.95,1145.7,0.3016,1.9324,3.9595,35.5281,18.3061,107.42,1.372872048,8.3577,0.3845,,,47.248,3.9681,3.64,63.5773,3.75,1.3471,14.26945,145.25,8.4888,0.9799,35.14,6.6847,,3.6725,0.756429652,1,
15-Jul-16,,1.311303436,0.376,9.975,10.74113856,3.2305,1.3433,1.2975,650.92,6.6828,2923.07,24.284,6.6836,0.898634076,282.52,121.15,,13086,,3.844,105.65,338.52,1141.8,0.3016,1.9324,3.9585,,18.492,107.03,1.398405817,8.3737,0.3845,104.8506,3.276,47.099,3.9598,3.64,63.1697,3.75,1.3433,14.3509,145.25,8.4947,0.9789,34.981,6.6821,,3.6725,0.747831289,1,30.15
18-Jul-16,110.6312,1.315789474,0.376,9.975,,3.265,1.3489,1.2984,650.58,6.6988,2923.46,24.446,6.73,0.904731747,285.22,122.03,67.1015,13112,30883,3.86,,338.88,1132.7,0.30225,1.9324,3.9785,35.4695,18.4879,107.31,1.410437236,8.4707,0.3845,104.8552,3.275,46.877,3.9853,3.64,63.1154,3.75,1.3489,14.29665,145.25,,0.9839,,6.6856,2.20921,3.6725,0.755686541,1,
19-Jul-16,110.7956,1.328197636,0.376,9.975,,3.2628,1.351,1.3029,650.84,6.6921,2928.3,24.488,6.7412,0.906207522,284.49,121.99,67.1462,13086,30882,3.856,105.9,338.72,1136.3,0.30225,1.9324,3.9865,35.467,18.5719,107.47,1.423284942,8.472,0.3845,104.8648,3.292,46.757,3.9582,3.64,62.9891,3.75,1.351,14.32775,,8.5603,0.9833,,6.6585,2.22377,3.6725,0.759416768,1,29.886
20-Jul-16,110.8237,1.333155579,0.376,9.975,10.76426265,3.2795,1.3551,1.304,651.53,6.6839,2931.08,24.532,6.7542,0.908017797,285.88,122.42,67.172,13100,30910,3.859,106.01,339.9,1138.4,0.3025,1.9324,4.02,35.442,18.5729,107.46,1.418640942,8.4947,0.3845,104.8423,3.307,46.844,3.979,3.64,63.4183,3.75,1.3551,14.27515,145.25,8.6331,0.9863,35.043,6.6714,2.22247,3.6725,0.759301443,1,29.474
21-Jul-16,110.6428,1.335648457,0.376,9.975,10.74113856,3.2506,1.3575,1.3057,651.43,6.673,2931.08,24.53,6.7535,0.907852928,285.57,122.4,67.2035,13122,30909,3.858,107.21,342.23,1140.8,0.3025,1.9324,4.0505,35.4528,18.6022,107.5,1.433486239,8.4921,0.3845,104.8529,,47.064,3.9685,3.64,63.7373,3.75,1.3575,14.276,145.25,8.5912,0.9867,35.038,6.6788,2.23568,3.6725,0.758437619,1,
22-Jul-16,110.7455,1.337613697,0.376,9.975,10.75268817,3.2579,1.3558,1.3178,650.09,6.6682,2928.67,24.535,6.7541,0.907935355,284.4,122.1,67.1355,13102,,3.839,105.86,341.51,1140.2,0.3025,1.9324,4.071,35.4799,18.6089,107.55,1.432254368,8.5207,0.3845,104.8498,3.32,47.163,3.9504,3.64,64.627,3.75,1.3558,14.2481,145.75,8.6116,0.9862,34.938,6.6627,2.23618,3.6725,0.762951095,1,29.869
25-Jul-16,110.8726,1.336005344,0.376,9.975,10.77586207,3.2848,1.3607,1.3225,650.78,6.679,2942.65,24.601,6.7741,0.910580951,284.74,122.01,67.243,13135,30956,3.846,106.43,343.88,1135,0.30265,1.9324,4.0815,35.4862,18.7569,107.34,1.433897333,8.5687,0.3845,104.8617,3.34,47.096,3.9697,3.64,64.9184,3.75,1.3607,14.28835,145.75,8.6656,0.9852,35.013,6.6824,,3.6725,0.761556622,1,29.68
26-Jul-16,110.814,1.329256945,0.376,9.975,10.79913607,3.2813,1.3601,1.3209,656.33,6.6765,2997.25,24.573,6.7648,0.909338911,284.24,121.47,67.368,13150,30955,3.844,104.4,350.2,1136.9,0.3024,1.9324,4.076,35.4918,18.8114,107.64,1.428775539,8.5814,0.3845,104.8569,3.355,47.18,3.9682,3.64,65.7408,3.75,1.3601,14.4211,145.75,8.6396,0.9874,35.046,6.6876,,3.6725,0.762195122,1,29.601
27-Jul-16,110.858,1.336541032,0.376,9.975,10.76426265,3.2784,1.3594,1.322,661.04,6.6685,3055.15,24.594,6.7684,0.90983532,285.02,121.29,67.2362,13130,30954,3.84,105.15,352.13,1138.4,0.3025,1.9324,4.0765,35.5127,18.8602,107.66,1.420454545,8.5877,0.3845,104.8588,3.35,47.193,3.9739,3.64,65.9467,3.75,1.3594,14.29485,145.75,8.6593,0.9937,35.023,6.6984,2.2377,3.6725,0.763300511,1,29.335
28-Jul-16,110.4815,1.328903654,0.376,9.975,10.70663812,3.2814,1.3509,1.317,664.94,6.6574,3073.52,24.382,6.7086,0.901713255,281.86,119.81,67.055,13113,30952,3.828,104.85,352.75,1134.1,0.30225,1.9324,4.054,35.4838,18.8979,107.48,1.409244645,8.5126,0.3845,104.851,,47.156,3.9389,3.64,66.1125,3.75,1.3509,14.2291,145.7466,8.5859,0.9842,34.902,6.7058,2.2381,3.6725,0.760514108,1,29.597
29-Jul-16,110.4325,1.329433661,0.376,9.975,10.60445387,3.2734,1.3475,1.3041,664.94,6.6532,3091.78,24.324,6.6925,0.899847026,281.47,119.37,67.034,13094,,3.828,104,352.25,1125.7,0.30225,1.9324,4.0535,35.4449,18.7837,107.28,1.406667604,8.5568,0.3845,104.8497,,47.085,3.9364,3.64,67.0512,3.75,1.3475,14.15085,145.7466,8.6173,0.9746,34.875,6.7012,2.2259,3.6725,0.75889808,1,
