Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Oct-20,129.1067,1.391207568,,5.6435,1.3634,1.3292,788.15,,3865.47,22.895,6.3326,0.850918993,73.3834,3.427,105.54,,,4.148,40.0354,21.9562,1.510802236,9.2812,,3.602,48.422,3.8513,3.64,77.2774,3.75,1.3634,16.6079,8.9396,0.91815,31.588,6.728,3.6725,0.779028551,1,42.533
02-Oct-20,129.13,1.400756408,11.52073733,5.6458,1.3658,1.331,785.04,,3842.34,23.043,6.3439,0.852514919,,3.431,105.56,,,4.1605,40.0493,21.7025,1.506250941,9.2958,,3.616,48.458,3.8366,,78.0915,,1.3658,16.5695,8.9228,0.921,31.615,6.7216,,0.774533344,1,42.557
05-Oct-20,129.1241,,11.45475372,5.6293,1.3625,1.3269,790.81,,3881.8,23.023,6.3222,0.849762067,73.264,3.422,105.58,1169.5,0.30605,4.1595,40.0249,21.396,1.50466446,9.2501,,3.61,48.463,3.8252,3.64,78.1281,3.75,1.3625,16.4045,8.9123,0.91645,31.508,6.7116,3.6725,0.772349874,1,42.495
06-Oct-20,128.8687,1.390627173,11.48105626,5.5199,1.3592,1.3272,794.34,,3843.75,22.917,6.3084,0.847816872,73.3684,3.411,105.65,1163.4,0.30585,4.15,40.0262,21.4507,1.502855425,9.2075,0.3845,3.581,48.428,3.818,3.64,78.5119,3.75,1.3592,16.50215,8.897,0.91505,31.247,6.7188,3.6725,0.773126136,1,42.49
07-Oct-20,128.95,1.403705783,11.52073733,5.6012,1.3619,1.3275,797.35,,3826.77,22.996,6.3229,0.849617672,73.3603,3.407,105.65,1160,0.30605,4.1595,39.9814,21.493,1.519295047,9.2874,0.3845,3.577,48.377,3.8126,3.64,78.0921,3.75,1.3619,16.64015,8.9416,0.9175,31.312,6.721,3.6725,0.777272551,1,42.512
08-Oct-20,128.9674,1.399580126,11.48105626,5.6194,1.3592,1.322,795.05,,3837.79,23.029,6.3258,0.849978751,73.2943,3.394,106,1162.5,0.30605,4.1555,39.9645,21.4318,1.526484506,9.268,,,48.444,3.8175,3.64,77.9157,3.75,1.3592,16.59655,8.8673,0.9181,31.207,6.7361,3.6725,0.775163753,1,42.555
09-Oct-20,128.8165,1.392951665,11.46788991,5.5387,1.3565,1.3136,797.25,6.7153,3839.73,22.983,6.3096,0.847816872,73.2103,3.381,105.96,,,4.1475,40.0266,21.1822,1.516070346,9.2092,,3.57,48.377,3.7913,,77.0284,,1.3565,16.48815,8.8505,0.91245,31.12,,,0.773066368,1,42.566
13-Oct-20,128.828,1.391788448,11.45475372,5.5854,1.3593,1.3133,796.05,6.7505,3824.25,23.212,6.3148,0.848392297,73.379,3.386,105.37,1148.3,0.3057,4.155,40.02,21.3677,1.507159005,9.1561,0.3845,3.592,48.38,3.7932,3.64,77.2855,3.75,1.3593,16.47035,8.8187,0.91085,,6.7546,3.6725,0.765843385,1,42.624
14-Oct-20,129.0661,1.394700139,11.46788991,5.5669,1.359,1.3139,797.66,6.7393,3856.32,23.244,6.3352,0.85106383,73.4558,3.384,105.43,1149.5,0.30595,4.146,40.0071,21.2998,1.501276085,9.21,0.3845,,48.556,3.8301,3.64,77.2759,3.75,1.359,16.5314,8.834,0.9148,31.187,6.7656,3.6725,0.772170959,1,42.66
15-Oct-20,129.0196,1.401345291,11.49425287,5.6166,1.3577,1.323,798.56,6.7271,3843.59,23.375,6.3625,0.854846982,73.2677,3.394,105.24,1145.7,0.30595,4.148,39.9447,21.3832,1.502855425,9.3758,0.3845,,48.623,3.8904,3.64,77.9461,3.75,1.3577,16.6831,9.0395,0.91375,31.172,6.7477,3.6725,0.77187295,1,42.805
