Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Bolivar Soberano   (VES)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Feb-18,113.4225,1.243162606,0.376,3336.6375,,9.560229446,3.1618,1.3116,1.2288,603.25,6.3021,2835.05,20.281,5.9738,0.802632635,249.13,100.5,63.6113,13402,36950,3.427,109.18,322.73,1071,0.2996,1.9324,,,18.4004,101.74,1.357220413,7.6816,0.3845,110.5536,3.211,51.341,3.3346,3.64,56.2613,3.75,1.3116,11.89935,153.9449,7.88,0.933,31.36,6.7343,2.42858,3.6725,0.703284338,1,28.367
02-Feb-18,113.3911,1.250468926,0.376,3336.6375,,9.587727709,3.1724,1.3115,1.238,599.19,6.2746,2806.67,20.163,5.9581,0.800512328,247.76,100.11,64.0781,13428,,3.43,109.4,321.62,1071.1,0.2996,1.9324,3.8885,32.2688,18.5248,102.43,1.353546291,7.6579,0.3845,110.5501,3.217,51.491,3.3329,3.64,56.0408,3.75,1.3115,11.9694,154.1543,7.855,0.9294,31.349,6.7366,2.42755,3.6725,0.70308655,1,28.459
05-Feb-18,113.5692,1.261193089,0.376,3336.6375,,9.606147935,3.2054,1.318,1.2483,601.26,6.2955,2832.13,20.256,5.9834,0.803858521,248.71,100.26,64.0295,13498,36948,3.442,109.95,322.33,1076.7,0.2996,1.9324,3.8975,32.2162,,102.5,1.369675387,7.7257,0.3845,,3.223,51.656,3.3375,3.64,56.6278,3.75,1.318,12.05175,,7.8999,0.9313,31.513,6.7458,2.42488,3.6725,0.711845103,1,28.456
06-Feb-18,113.8468,1.274859765,0.376,3336.6375,,9.643201543,3.2349,1.3219,1.253,603.07,6.2848,2843.6,20.464,6.0369,0.81109579,250.07,100.8,64.2723,13578,36952,3.485,108.7,324.06,1089.8,0.2998,1.9324,3.9135,32.2592,18.7009,102.5,,7.868,0.3845,110.5499,3.248,51.549,3.3498,3.64,57.2196,3.75,1.3219,12.0783,154.2579,7.9415,0.9355,31.636,6.7458,2.42247,3.6725,0.717797796,1,28.454
07-Feb-18,113.8625,1.268552582,0.376,24937.5,,9.606147935,3.2607,1.3178,1.2546,601.23,6.2587,2844.83,20.448,6.0326,0.810504134,250.98,101.3,64.1377,13533,36955,3.486,109.42,323.84,1094.3,0.2998,1.9324,3.9075,32.3962,18.6492,102.79,1.36369835,7.8309,0.3845,110.5479,3.245,51.55,3.3677,3.64,56.9533,3.75,1.3178,11.95495,154.5527,7.9657,0.9399,31.485,6.737,2.42283,3.6725,0.720020161,1,28.497
08-Feb-18,114.2522,1.280081925,0.376,24937.5,,9.671179884,3.2461,1.3291,1.2585,596.53,6.323,2830.89,20.595,6.0743,0.816193275,254.35,102.3,64.1616,13602,36979,3.499,109.38,325.35,1083.3,0.30025,1.9324,3.9255,,18.8815,102.85,1.386577926,7.9056,0.3845,110.5488,3.251,51.207,3.4119,3.64,57.6736,3.75,1.3291,12.1224,154.5862,8.0841,0.9453,31.743,6.7607,2.42343,3.6725,0.715793994,1,28.621
09-Feb-18,114.1579,1.285512277,0.376,24937.5,,9.68054211,3.2686,1.3323,1.2609,600.74,6.301,2862.78,20.645,6.0651,0.814796708,254.5,102.13,64.3686,13643,,3.516,108.84,327.32,1087.8,0.30025,1.9324,3.9385,32.7201,18.8623,102.82,1.385425326,7.9836,0.3845,110.5495,3.267,51.303,3.4263,3.64,58.1718,3.75,1.3323,12.1162,154.4876,8.1158,0.9385,31.826,6.7639,2.42552,3.6725,0.723248834,1,28.765
12-Feb-18,114.1632,1.276487107,0.376,,,9.624639076,3.2815,1.3259,1.2603,603.07,6.3217,2908.7,20.677,6.0718,0.815461143,254.44,102.06,64.2838,13609,36998,3.524,,326.7,1092.7,0.3001,1.9324,3.932,32.7961,18.6703,103.04,1.379120121,7.9487,0.3845,110.5494,3.264,51.651,3.4122,3.64,58.0171,3.75,1.3259,11.9669,154.3075,8.0827,0.9375,31.636,,2.42396,3.6725,0.721943472,1,
13-Feb-18,114.0042,1.27064803,0.376,,,9.606147935,3.2815,1.3233,1.26,600.35,6.346,2904.29,20.583,6.0397,0.810832725,253.23,101.59,,13644,37019,3.527,108.72,324.21,1083.4,0.3001,1.9324,3.9335,,18.6269,102.9,1.379310345,7.899,0.3845,110.5486,3.267,51.651,3.3916,3.64,57.7701,3.75,1.3233,11.9438,,8.0492,0.9338,31.531,,2.42373,3.6725,0.719320961,1,
14-Feb-18,114.2035,1.269518852,0.376,24937.5,,9.560229446,3.2815,1.3185,1.2562,596.99,6.348,2904.71,20.539,6.0324,0.809847749,252.77,101.51,64.1259,13657,37054,3.533,107.1,322.55,1082.8,0.29965,1.9324,3.9265,32.6963,18.6025,102.9,1.373626374,7.8675,0.3845,110.553,3.268,51.916,3.3769,3.64,57.5899,3.75,1.3185,11.84555,154.7384,8.0009,0.9336,31.413,,2.42228,3.6725,0.721969533,1,28.86
